State Code,Address Count
AK,6
AL,678
AR,372
AZ,36
CA,36
CO,102
CT,18
FL,48
GA,456
HI,36
IA,162
ID,30
IL,402
IN,438
KS,228
KY,540
LA,600
MA,72
MD,6
ME,270
MI,684
MN,180
MO,414
MS,672
MT,48
NC,60
ND,18
NE,120
NH,84
NJ,12
NM,186
NV,18
NY,474
OH,666
OK,468
OR,6
PA,372
PR,6
RI,36
SC,390
SD,42
TN,522
TX,846
UT,18
VA,450
VT,42
WI,354
WV,228
WY,12
