id,address,lat,lng,house_no,city,state_code,zip_code
1532,"3687 Sipsey Rd, Jasper, AL 35504 USA",33.82626,-87.0908,3687,Jasper,AL,35504
1411,"2837 S Phillips Rd, Lanett, AL 36863 USA",32.83524,-85.2296,2837,Lanett,AL,36863
1264,"33880 US Highway 98, Lillian, AL 36549 USA",30.41373,-87.4493,33880,Lillian,AL,36549
1457,"75905 AL Highway 77, Lincoln, AL 35096 USA",33.59597,-86.1215,75905,Lincoln,AL,35096
1171,"103 Miller Ave, Linden, AL 36748 USA",32.29691,-87.7971,103,Linden,AL,36748
1883,"8996 AL Highway 22, Maplesville, AL 36750 USA",32.7829,-86.8729,8996,Maplesville,AL,36750
337,"110 Fikes Ferry Rd, Marion, AL 36756 USA",32.61991,-87.317,110,Marion,AL,36756
1307,"4780 Eastern Valley Rd, Mc Calla, AL 35111 USA",33.32922,-87.0006,4780,Mc Calla,AL,35111
774,"12301 Highway 231 431 N, Meridianville, AL 35759 USA",34.87122,-86.572,12301,Meridianville,AL,35759
916,"12275 Highway 231, Meridianville, AL 35759 USA",34.87035,-86.5722,12275,Meridianville,AL,35759
583,"7790 Moffett Rd, Mobile, AL 36618 USA",30.76247,-88.2251,7790,Mobile,AL,36618
223,"2511 Moody Pkwy, Moody, AL 35004 USA",33.5821,-86.5068,2511,Moody,AL,35004
951,"40278 AL Highway 69, Moundville, AL 35474 USA",32.99774,-87.6224,40278,Moundville,AL,35474
635,"19644 Highway # 43, Mount Vernon, AL 36560 USA",31.1002,-88.0101,19644,Mount Vernon,AL,36560
731,"2000 Trade Center Drive, Northport, AL 35476 USA",33.23286,-87.6151,2000,Northport,AL,35476
882,"3205 Hunter Creek Rd, Northport, AL 35473 USA",33.2381,-87.5642,3205,Northport,AL,35473
1413,"2465 2nd Ave E, Oneonta, AL 35121 USA",33.97294,-86.4476,2465,Oneonta,AL,35121
1536,"20 Lee Road 621, Opelika, AL 36804 USA",32.70971,-85.2323,20,Opelika,AL,36804
768,"902 Florala Hwy # 331, Opp, AL 36467 USA",31.27162,-86.2493,902,Opp,AL,36467
375,"14344 Main St, Orrville, AL 36767 USA",32.30777,-87.242,14344,Orrville,AL,36767
529,"2674 Dr. J.T. Moore Street South, Orrville, AL 36767 USA",32.30693,-87.2417,2674,Orrville,AL,36767
569,"1106 Caffey Dr, Oxford, AL 36203 USA",33.59721,-85.8697,1106,Oxford,AL,36203
